ID,FaceID,FirstRating,GroupRating,SecondRating,Feedback,Change,Condition
12,4,6,6,4,0,-2,Pre
12,40,5,8,7,3,2,Pre
12,41,5,5,7,0,2,Pre
12,42,2,0,3,NA,1,Pre
12,43,2,2,6,0,4,Pre
12,44,4,4,2,0,-2,Pre
12,45,6,3,5,-3,-1,Pre
12,46,7,4,5,-3,-2,Pre
12,47,8,0,8,NA,0,Pre
12,48,5,0,3,NA,-2,Pre
12,49,1,4,2,3,1,Pre
12,5,6,3,5,-3,-1,Pre
12,50,5,3,7,-2,2,Pre
12,51,6,8,1,2,-5,Pre
12,52,5,3,5,-2,0,Pre
12,53,5,7,4,2,-1,Pre
12,54,2,4,1,2,-1,Pre
12,55,1,3,1,2,0,Pre
12,56,8,5,8,-3,0,Pre
12,57,1,4,1,3,0,Pre
12,58,4,7,5,3,1,Pre
12,59,7,4,8,-3,1,Pre
12,6,3,0,3,NA,0,Pre
12,60,2,4,2,2,0,Pre
12,61,4,7,4,3,0,Pre
12,62,1,3,1,2,0,Pre
12,63,5,5,6,0,1,Pre
12,64,2,0,4,NA,2,Pre
12,65,7,4,8,-3,1,Pre
12,66,6,6,4,0,-2,Pre
12,67,7,7,8,0,1,Pre
12,68,2,2,3,0,1,Pre
12,69,6,8,7,2,1,Pre
12,7,4,6,4,2,0,Pre
12,70,7,5,6,-2,-1,Pre
12,71,7,4,8,-3,1,Pre
12,72,3,6,4,3,1,Pre
12,73,3,0,3,NA,0,Pre
12,74,8,5,7,-3,-1,Pre
12,75,5,8,6,3,1,Pre
12,76,8,5,8,-3,0,Pre
12,77,6,4,4,-2,-2,Pre
12,78,1,4,1,3,0,Pre
12,79,8,8,8,0,0,Pre
12,8,7,0,6,NA,-1,Pre
12,80,5,2,8,-3,3,Pre
12,81,2,4,2,2,0,Pre
12,9,2,5,3,3,1,Pre
13,10,6,4,4,-2,-2,Pre
13,11,6,6,7,0,1,Pre
13,12,5,8,6,3,1,Pre
13,13,3,0,3,NA,0,Pre
13,14,3,6,3,3,0,Pre
13,15,3,3,4,0,1,Pre
13,16,6,0,5,NA,-1,Pre
13,17,6,6,7,0,1,Pre
13,18,6,0,6,NA,0,Pre
13,19,7,7,6,0,-1,Pre
13,2,5,5,3,0,-2,Pre
13,20,6,4,7,-2,1,Pre
13,21,4,6,3,2,-1,Pre
13,22,3,6,4,3,1,Pre
13,23,5,7,6,2,1,Pre
13,24,6,3,5,-3,-1,Pre
13,25,5,0,4,NA,-1,Pre
13,26,8,6,8,-2,0,Pre
13,27,7,7,5,0,-2,Pre
13,28,5,8,5,3,0,Pre
13,29,7,5,6,-2,-1,Pre
13,3,4,0,5,NA,1,Pre
13,30,4,1,2,-3,-2,Pre
13,31,7,4,7,-3,0,Pre
13,32,5,0,5,NA,0,Pre
13,33,3,5,4,2,1,Pre
13,34,6,6,5,0,-1,Pre
13,35,5,2,4,-3,-1,Pre
13,36,2,5,3,3,1,Pre
13,37,8,5,8,-3,0,Pre
13,38,3,3,4,0,1,Pre
13,39,4,7,3,3,-1,Pre
13,4,6,8,7,2,1,Pre
13,40,5,5,5,0,0,Pre
13,41,4,7,4,3,0,Pre
13,42,3,1,2,-2,-1,Pre
13,43,5,7,5,2,0,Pre
13,44,5,3,4,-2,-1,Pre
13,45,5,7,6,2,1,Pre
13,46,6,4,6,-2,0,Pre
13,47,7,4,7,-3,0,Pre
13,48,5,3,5,-2,0,Pre
13,49,3,5,3,2,0,Pre
13,5,6,0,7,NA,1,Pre
13,50,7,5,7,-2,0,Pre
13,51,3,5,4,2,1,Pre
13,52,4,1,4,-3,0,Pre
13,53,6,8,7,2,1,Pre
13,54,4,6,3,2,-1,Pre
13,55,6,3,7,-3,1,Pre
13,56,7,4,7,-3,0,Pre
13,57,6,6,4,0,-2,Pre
13,58,4,2,4,-2,0,Pre
13,59,7,0,6,NA,-1,Pre
13,6,3,3,3,0,0,Pre
13,60,7,5,6,-2,-1,Pre
13,61,3,3,3,0,0,Pre
13,62,4,6,4,2,0,Pre
13,63,8,6,7,-2,-1,Pre
13,64,7,5,6,-2,-1,Pre
13,65,4,6,4,2,0,Pre
13,66,4,7,4,3,0,Pre
13,67,7,4,8,-3,1,Pre
13,68,7,7,7,0,0,Pre
13,69,6,3,6,-3,0,Pre
13,7,4,2,5,-2,1,Pre
13,70,4,6,4,2,0,Pre
13,71,7,7,7,0,0,Pre
13,72,5,0,5,NA,0,Pre
13,73,4,6,4,2,0,Pre
13,74,6,4,4,-2,-2,Pre
13,75,4,6,5,2,1,Pre
13,76,5,0,6,NA,1,Pre
13,77,5,2,4,-3,-1,Pre
13,78,3,1,4,-2,1,Pre
13,79,7,5,8,-2,1,Pre
13,8,4,6,4,2,0,Pre
13,80,5,5,3,0,-2,Pre
13,81,4,1,4,-3,0,Pre
13,9,4,4,3,0,-1,Pre
14,10,6,0,6,NA,0,Pre
14,11,7,7,5,0,-2,Pre
14,12,2,5,1,3,-1,Pre
14,13,2,5,2,3,0,Pre
14,14,4,4,3,0,-1,Pre
14,15,5,8,3,3,-2,Pre
14,16,4,1,6,-3,2,Pre
14,17,4,7,6,3,2,Pre
14,18,8,5,6,-3,-2,Pre
14,19,3,0,2,NA,-1,Pre
14,2,5,3,5,-2,0,Pre
14,20,7,7,7,0,0,Pre
14,21,3,3,2,0,-1,Pre
14,22,2,4,3,2,1,Pre
14,23,5,8,4,3,-1,Pre
14,24,7,7,6,0,-1,Pre
14,25,5,7,3,2,-2,Pre
14,26,6,0,7,NA,1,Pre
14,27,5,2,4,-3,-1,Pre
14,28,3,0,5,NA,2,Pre
14,29,7,7,6,0,-1,Pre
14,3,3,5,2,2,-1,Pre
14,30,3,6,6,3,3,Pre
14,31,2,4,6,2,4,Pre
14,32,3,6,3,3,0,Pre
14,33,5,0,2,NA,-3,Pre
14,34,2,5,1,3,-1,Pre
14,35,6,0,6,NA,0,Pre
14,36,3,3,1,0,-2,Pre
14,37,4,0,4,NA,0,Pre
14,38,2,2,2,0,0,Pre
14,39,6,3,6,-3,0,Pre
14,4,6,6,4,0,-2,Pre
14,40,7,5,6,-2,-1,Pre
14,41,6,4,6,-2,0,Pre
14,42,1,3,1,2,0,Pre
14,43,2,5,4,3,2,Pre
14,44,2,5,1,3,-1,Pre
14,45,5,8,7,3,2,Pre
14,46,2,0,7,NA,5,Pre
14,47,7,7,7,0,0,Pre
14,48,5,8,6,3,1,Pre
14,49,1,3,1,2,0,Pre
14,5,6,8,6,2,0,Pre
14,50,3,1,7,-2,4,Pre
14,51,2,5,2,3,0,Pre
14,52,2,5,2,3,0,Pre
14,53,6,8,7,2,1,Pre
14,54,2,5,2,3,0,Pre
14,55,7,7,6,0,-1,Pre
14,56,7,5,7,-2,0,Pre
14,57,3,1,1,-2,-2,Pre
14,58,1,3,1,2,0,Pre
14,59,7,4,7,-3,0,Pre
14,6,2,5,3,3,1,Pre
14,60,2,4,2,2,0,Pre
14,61,3,5,5,2,2,Pre
14,62,3,1,2,-2,-1,Pre
14,63,6,6,6,0,0,Pre
14,64,5,5,6,0,1,Pre
14,65,4,2,5,-2,1,Pre
14,66,1,3,2,2,1,Pre
14,67,8,5,7,-3,-1,Pre
14,68,3,5,3,2,0,Pre
14,69,6,3,3,-3,-3,Pre
14,7,2,4,3,2,1,Pre
14,70,3,5,4,2,1,Pre
14,71,5,0,6,NA,1,Pre
14,72,3,3,4,0,1,Pre
14,73,1,1,1,0,0,Pre
14,74,5,2,2,-3,-3,Pre
14,75,6,3,5,-3,-1,Pre
14,76,5,2,4,-3,-1,Pre
14,77,6,8,5,2,-1,Pre
14,78,2,4,2,2,0,Pre
14,79,6,8,6,2,0,Pre
14,8,1,1,1,0,0,Pre
14,80,3,5,2,2,-1,Pre
14,81,4,6,5,2,1,Pre
14,9,3,0,3,NA,0,Pre
15,10,7,7,6,0,-1,Pre
15,11,6,3,2,-3,-4,Pre
15,12,1,3,2,2,1,Pre
15,13,1,1,3,0,2,Pre
15,14,2,2,2,0,0,Pre
15,15,3,1,5,-2,2,Pre
15,16,1,1,2,0,1,Pre
15,17,7,0,6,NA,-1,Pre
15,18,8,6,7,-2,-1,Pre
15,19,5,7,5,2,0,Pre
15,2,3,5,3,2,0,Pre
15,20,6,0,7,NA,1,Pre
15,21,5,2,5,-3,0,Pre
15,22,5,7,3,2,-2,Pre
15,23,4,7,5,3,1,Pre
15,24,5,3,6,-2,1,Pre
15,25,6,8,6,2,0,Pre
15,26,7,7,7,0,0,Pre
15,27,4,0,7,NA,3,Pre
15,28,5,2,5,-3,0,Pre
15,29,8,5,8,-3,0,Pre
15,3,3,6,1,3,-2,Pre
15,30,6,0,3,NA,-3,Pre
15,31,1,1,1,0,0,Pre
15,32,4,4,2,0,-2,Pre
15,33,5,3,2,-2,-3,Pre
15,34,3,6,5,3,2,Pre
15,35,1,1,4,0,3,Pre
15,36,5,2,5,-3,0,Pre
15,37,4,2,5,-2,1,Pre
15,38,2,4,4,2,2,Pre
15,39,2,5,4,3,2,Pre
15,4,2,0,4,NA,2,Pre
15,40,7,5,7,-2,0,Pre
15,41,5,0,5,NA,0,Pre
15,42,3,5,1,2,-2,Pre
15,43,4,4,3,0,-1,Pre
15,44,4,4,3,0,-1,Pre
15,45,4,2,3,-2,-1,Pre
15,46,7,7,5,0,-2,Pre
15,47,6,6,7,0,1,Pre
15,48,5,5,5,0,0,Pre
15,49,5,2,6,-3,1,Pre
15,5,6,4,5,-2,-1,Pre
